Day,Single Room E,Single Room F,Total Single Room Patients,Double Room Patients,Total Patients for Day,Closed Rooms,Total Census Rooms,Month
Monday,2.0,0.0,2.0,14.0,16.0,0.0,16.0,Aug-2023
Tuesday,2.0,1.0,3.0,10.0,13.0,2.0,13.0,Aug-2023
Wednesday,2.0,1.0,3.0,10.0,13.0,2.0,13.0,Aug-2023
Thursday,2.0,0.0,2.0,9.0,11.0,2.0,11.0,Aug-2023
Friday,2.0,0.0,2.0,11.0,13.0,2.0,13.0,Aug-2023
Saturday,3.0,0.0,3.0,13.0,16.0,0.0,16.0,Aug-2023
Sunday,3.0,0.0,3.0,16.0,19.0,0.0,19.0,Aug-2023
Monday,3.0,0.0,3.0,16.0,19.0,0.0,19.0,Aug-2023
Tuesday,7.0,0.0,7.0,6.0,13.0,0.0,13.0,Aug-2023
Wednesday,5.0,0.0,5.0,9.0,14.0,2.0,14.0,Aug-2023
Thursday,4.0,0.0,4.0,10.0,14.0,0.0,14.0,Aug-2023
Friday,4.0,0.0,4.0,11.0,15.0,0.0,15.0,Aug-2023
Saturday,5.0,0.0,5.0,13.0,18.0,0.0,18.0,Aug-2023
Sunday,5.0,0.0,5.0,15.0,20.0,0.0,20.0,Aug-2023
Monday,5.0,0.0,5.0,15.0,20.0,0.0,20.0,Aug-2023
Tuesday,6.0,0.0,6.0,11.0,17.0,0.0,17.0,Aug-2023
Wednesday,6.0,0.0,6.0,12.0,18.0,0.0,18.0,Aug-2023
Thursday,6.0,0.0,6.0,12.0,18.0,0.0,18.0,Aug-2023
Friday,6.0,0.0,6.0,9.0,15.0,2.0,15.0,Aug-2023
Saturday,9.0,0.0,9.0,8.0,17.0,0.0,17.0,Aug-2023
Sunday,9.0,0.0,9.0,8.0,17.0,0.0,17.0,Aug-2023
Monday,9.0,0.0,9.0,8.0,17.0,0.0,17.0,Aug-2023
Tuesday,7.0,0.0,7.0,8.0,15.0,0.0,15.0,Aug-2023
Wednesday,6.0,0.0,6.0,6.0,12.0,2.0,12.0,Aug-2023
Thursday,7.0,0.0,7.0,8.0,15.0,2.0,15.0,Aug-2023
Friday,7.0,0.0,7.0,8.0,15.0,0.0,15.0,Sep-2023
Saturday,6.0,0.0,6.0,5.0,11.0,0.0,11.0,Sep-2023
Sunday,7.0,0.0,7.0,9.0,16.0,0.0,16.0,Sep-2023
Monday,7.0,0.0,7.0,9.0,16.0,0.0,16.0,Sep-2023
Tuesday,7.0,0.0,7.0,9.0,16.0,0.0,16.0,Sep-2023
Wednesday,6.0,0.0,6.0,11.0,17.0,0.0,17.0,Sep-2023
Thursday,5.0,0.0,5.0,11.0,16.0,0.0,16.0,Sep-2023
Friday,5.0,0.0,5.0,10.0,15.0,0.0,15.0,Sep-2023
Saturday,6.0,0.0,6.0,12.0,18.0,0.0,18.0,Sep-2023
Sunday,6.0,0.0,6.0,14.0,20.0,0.0,20.0,Sep-2023
Monday,6.0,0.0,6.0,14.0,20.0,0.0,20.0,Sep-2023
Tuesday,6.0,0.0,6.0,11.0,17.0,0.0,17.0,Sep-2023
Wednesday,5.0,0.0,5.0,13.0,18.0,0.0,18.0,Sep-2023
Thursday,6.0,0.0,6.0,12.0,18.0,0.0,18.0,Sep-2023
Friday,5.0,0.0,5.0,15.0,20.0,0.0,20.0,Sep-2023
Saturday,6.0,0.0,6.0,14.0,20.0,0.0,20.0,Sep-2023
Sunday,6.0,0.0,6.0,14.0,20.0,0.0,20.0,Sep-2023
Monday,6.0,0.0,6.0,14.0,20.0,0.0,20.0,Sep-2023
Tuesday,6.0,0.0,6.0,10.0,16.0,0.0,16.0,Sep-2023
Wednesday,3.0,0.0,3.0,13.0,16.0,0.0,16.0,Sep-2023
Thursday,4.0,0.0,4.0,13.0,17.0,4.0,17.0,Sep-2023
Friday,2.0,0.0,2.0,11.0,13.0,6.0,13.0,Sep-2023
Saturday,7.0,0.0,7.0,9.0,16.0,0.0,16.0,Sep-2023
Sunday,7.0,0.0,7.0,10.0,17.0,0.0,17.0,Sep-2023
Monday,3.0,0.0,3.0,14.0,17.0,5.0,17.0,Sep-2023
Tuesday,3.0,11.0,12.0,0.0,12.0,0.0,12.0,Sep-2023
Wednesday,3.0,10.0,12.0,0.0,12.0,0.0,12.0,Sep-2023
Thursday,3.0,7.0,10.0,3.0,13.0,0.0,13.0,Sep-2023
Friday,2.0,7.0,9.0,6.0,15.0,0.0,15.0,Sep-2023
Saturday,2.0,5.0,7.0,9.0,16.0,0.0,16.0,Sep-2023
Sunday,2.0,5.0,7.0,11.0,18.0,0.0,18.0,Oct-2023
Monday,2.0,5.0,7.0,11.0,18.0,0.0,18.0,Oct-2023
Tuesday,1.0,3.0,4.0,6.0,10.0,0.0,10.0,Oct-2023
Wednesday,3.0,0.0,3.0,11.0,14.0,0.0,14.0,Oct-2023
Thursday,6.0,0.0,6.0,10.0,16.0,0.0,16.0,Oct-2023
Friday,6.0,0.0,6.0,10.0,16.0,0.0,16.0,Oct-2023
Saturday,9.0,0.0,9.0,7.0,16.0,0.0,16.0,Oct-2023
Sunday,9.0,0.0,9.0,7.0,16.0,0.0,16.0,Oct-2023
Monday,9.0,0.0,9.0,7.0,16.0,0.0,16.0,Oct-2023
Tuesday,9.0,0.0,9.0,5.0,14.0,0.0,14.0,Oct-2023
Wednesday,7.0,0.0,7.0,7.0,14.0,0.0,14.0,Oct-2023
Thursday,7.0,0.0,7.0,9.0,16.0,0.0,16.0,Oct-2023
Friday,8.0,0.0,8.0,8.0,16.0,0.0,16.0,Oct-2023
Saturday,7.0,0.0,7.0,10.0,17.0,0.0,17.0,Oct-2023
Sunday,7.0,0.0,7.0,12.0,19.0,0.0,19.0,Oct-2023
Monday,7.0,0.0,7.0,12.0,19.0,0.0,19.0,Oct-2023
Tuesday,7.0,0.0,7.0,11.0,18.0,0.0,18.0,Oct-2023
Wednesday,7.0,0.0,7.0,10.0,17.0,0.0,17.0,Oct-2023
Thursday,7.0,0.0,7.0,12.0,19.0,0.0,19.0,Oct-2023
Friday,5.0,0.0,5.0,8.0,13.0,0.0,13.0,Oct-2023
Saturday,7.0,0.0,7.0,9.0,16.0,0.0,16.0,Oct-2023
Sunday,7.0,0.0,7.0,9.0,16.0,0.0,16.0,Oct-2023
Monday,7.0,0.0,7.0,9.0,16.0,0.0,16.0,Oct-2023
Tuesday,6.0,0.0,6.0,11.0,17.0,0.0,17.0,Oct-2023
Wednesday,8.0,0.0,8.0,8.0,16.0,0.0,16.0,Oct-2023
Thursday,8.0,0.0,8.0,6.0,14.0,0.0,14.0,Oct-2023
Friday,8.0,0.0,8.0,8.0,16.0,0.0,16.0,Oct-2023
Saturday,8.0,0.0,8.0,8.0,16.0,0.0,16.0,Oct-2023
Sunday,8.0,0.0,8.0,9.0,17.0,0.0,17.0,Oct-2023
Monday,8.0,0.0,8.0,10.0,18.0,0.0,18.0,Oct-2023
Tuesday,8.0,0.0,8.0,10.0,18.0,0.0,18.0,Oct-2023
Wednesday,9.0,0.0,9.0,8.0,17.0,0.0,17.0,Nov-2023
Thursday,8.0,0.0,8.0,9.0,17.0,0.0,17.0,Nov-2023
Friday,8.0,0.0,8.0,10.0,18.0,0.0,18.0,Nov-2023
Saturday,8.0,0.0,8.0,10.0,18.0,0.0,18.0,Nov-2023
Sunday,8.0,0.0,8.0,10.0,18.0,0.0,18.0,Nov-2023
Monday,8.0,0.0,8.0,10.0,18.0,0.0,18.0,Nov-2023
Tuesday,8.0,0.0,8.0,10.0,18.0,0.0,18.0,Nov-2023
Wednesday,7.0,0.0,7.0,11.0,18.0,0.0,18.0,Nov-2023
Thursday,8.0,0.0,8.0,10.0,18.0,0.0,18.0,Nov-2023
Friday,7.0,0.0,7.0,10.0,17.0,0.0,17.0,Nov-2023
Saturday,6.0,0.0,6.0,14.0,20.0,0.0,20.0,Nov-2023
Sunday,6.0,0.0,6.0,14.0,20.0,0.0,20.0,Nov-2023
Monday,6.0,0.0,6.0,14.0,20.0,0.0,20.0,Nov-2023
Tuesday,7.0,0.0,7.0,12.0,19.0,0.0,19.0,Nov-2023
Wednesday,7.0,0.0,7.0,11.0,18.0,0.0,18.0,Nov-2023
Thursday,6.0,0.0,6.0,12.0,18.0,0.0,18.0,Nov-2023
Friday,6.0,0.0,6.0,12.0,18.0,0.0,18.0,Nov-2023
Saturday,7.0,0.0,7.0,11.0,18.0,0.0,18.0,Nov-2023
Sunday,7.0,0.0,7.0,11.0,18.0,0.0,18.0,Nov-2023
Monday,7.0,0.0,7.0,11.0,18.0,0.0,18.0,Nov-2023
Tuesday,7.0,0.0,7.0,10.0,17.0,0.0,17.0,Nov-2023
Wednesday,7.0,0.0,7.0,12.0,19.0,0.0,19.0,Nov-2023
Thursday,6.0,0.0,6.0,11.0,17.0,0.0,17.0,Nov-2023
Friday,6.0,0.0,6.0,11.0,17.0,0.0,17.0,Nov-2023
Saturday,7.0,0.0,7.0,11.0,18.0,0.0,18.0,Nov-2023
Sunday,6.0,0.0,6.0,14.0,20.0,0.0,20.0,Nov-2023
Monday,6.0,0.0,6.0,14.0,20.0,0.0,20.0,Nov-2023
Tuesday,6.0,0.0,6.0,13.0,19.0,0.0,19.0,Nov-2023
Wednesday,5.0,0.0,5.0,14.0,19.0,0.0,19.0,Nov-2023
Thursday,6.0,0.0,6.0,12.0,18.0,0.0,18.0,Nov-2023
Friday,7.0,0.0,7.0,11.0,18.0,1.0,18.0,Dec-2023
Saturday,0.0,13.0,13.0,0.0,13.0,0.0,13.0,Dec-2023
Sunday,0.0,13.0,13.0,0.0,13.0,0.0,13.0,Dec-2023
Monday,0.0,13.0,13.0,0.0,13.0,0.0,13.0,Dec-2023
Tuesday,0.0,10.0,10.0,1.0,11.0,0.0,11.0,Dec-2023
Wednesday,0.0,10.0,10.0,1.0,11.0,0.0,11.0,Dec-2023
Thursday,0.0,10.0,10.0,5.0,15.0,0.0,15.0,Dec-2023
Friday,5.0,2.0,7.0,9.0,16.0,0.0,16.0,Dec-2023
Saturday,6.0,2.0,8.0,7.0,15.0,0.0,15.0,Dec-2023
Sunday,6.0,2.0,8.0,7.0,15.0,0.0,15.0,Dec-2023
Monday,7.0,0.0,7.0,8.0,15.0,0.0,15.0,Dec-2023
Tuesday,7.0,0.0,7.0,6.0,13.0,0.0,13.0,Dec-2023
Wednesday,8.0,0.0,8.0,10.0,18.0,0.0,18.0,Dec-2023
Thursday,9.0,0.0,9.0,7.0,16.0,0.0,16.0,Dec-2023
Friday,8.0,0.0,8.0,10.0,18.0,0.0,18.0,Dec-2023
Saturday,5.0,0.0,5.0,11.0,16.0,0.0,16.0,Dec-2023
Sunday,5.0,0.0,5.0,11.0,16.0,0.0,16.0,Dec-2023
Monday,7.0,0.0,7.0,11.0,18.0,0.0,18.0,Dec-2023
Tuesday,7.0,0.0,7.0,12.0,19.0,0.0,19.0,Dec-2023
Wednesday,6.0,0.0,6.0,11.0,17.0,0.0,17.0,Dec-2023
Thursday,7.0,0.0,7.0,11.0,18.0,0.0,18.0,Dec-2023
Friday,8.0,0.0,8.0,5.0,13.0,0.0,13.0,Dec-2023
Saturday,10.0,0.0,10.0,4.0,14.0,0.0,14.0,Dec-2023
Sunday,10.0,0.0,10.0,4.0,14.0,0.0,14.0,Dec-2023
Monday,10.0,0.0,10.0,4.0,14.0,0.0,14.0,Dec-2023
Tuesday,10.0,0.0,10.0,4.0,14.0,0.0,14.0,Dec-2023
Wednesday,10.0,0.0,10.0,4.0,14.0,0.0,14.0,Dec-2023
Thursday,10.0,0.0,10.0,6.0,16.0,0.0,16.0,Dec-2023
Friday,10.0,2.0,12.0,2.0,14.0,0.0,14.0,Dec-2023
Saturday,10.0,1.0,11.0,2.0,13.0,0.0,13.0,Dec-2023
Sunday,10.0,1.0,11.0,2.0,13.0,0.0,13.0,Dec-2023
Monday,10.0,1.0,11.0,2.0,13.0,0.0,13.0,Jan-2024
Tuesday,6.0,7.0,13.0,0.0,13.0,0.0,13.0,Jan-2024
Wednesday,6.0,5.0,11.0,1.0,12.0,0.0,12.0,Jan-2024
Thursday,4.0,4.0,8.0,5.0,13.0,0.0,13.0,Jan-2024
Friday,5.0,6.0,11.0,4.0,15.0,0.0,15.0,Jan-2024
Saturday,8.0,3.0,11.0,4.0,15.0,0.0,15.0,Jan-2024
Sunday,8.0,3.0,11.0,4.0,15.0,0.0,15.0,Jan-2024
Monday,8.0,3.0,11.0,4.0,15.0,0.0,15.0,Jan-2024
Tuesday,8.0,2.0,10.0,4.0,14.0,0.0,14.0,Jan-2024
Wednesday,8.0,2.0,10.0,5.0,15.0,0.0,15.0,Jan-2024
Thursday,7.0,2.0,9.0,5.0,14.0,0.0,14.0,Jan-2024
Friday,6.0,2.0,8.0,6.0,14.0,0.0,14.0,Jan-2024
Saturday,7.0,2.0,9.0,6.0,15.0,0.0,15.0,Jan-2024
Sunday,7.0,2.0,9.0,6.0,15.0,0.0,15.0,Jan-2024
Monday,7.0,2.0,9.0,6.0,15.0,0.0,15.0,Jan-2024
Tuesday,7.0,2.0,9.0,7.0,16.0,0.0,16.0,Jan-2024
Wednesday,7.0,2.0,9.0,8.0,17.0,0.0,17.0,Jan-2024
Thursday,8.0,0.0,8.0,7.0,15.0,0.0,15.0,Jan-2024
Friday,5.0,0.0,5.0,11.0,16.0,2.0,16.0,Jan-2024
Saturday,6.0,0.0,6.0,12.0,18.0,2.0,18.0,Jan-2024
Sunday,6.0,0.0,6.0,12.0,18.0,2.0,18.0,Jan-2024
Monday,5.0,0.0,5.0,13.0,18.0,2.0,18.0,Jan-2024
Tuesday,7.0,0.0,7.0,10.0,17.0,2.0,17.0,Jan-2024
Wednesday,8.0,0.0,8.0,8.0,16.0,0.0,16.0,Jan-2024
Thursday,8.0,0.0,8.0,9.0,17.0,0.0,17.0,Jan-2024
Friday,8.0,0.0,8.0,7.0,15.0,2.0,15.0,Jan-2024
Saturday,9.0,0.0,9.0,5.0,14.0,2.0,14.0,Jan-2024
Sunday,8.0,0.0,8.0,7.0,15.0,2.0,15.0,Jan-2024
Monday,9.0,0.0,9.0,6.0,15.0,2.0,15.0,Jan-2024
Tuesday,9.0,0.0,9.0,6.0,15.0,2.0,15.0,Jan-2024
Wednesday,8.0,0.0,8.0,8.0,16.0,2.0,16.0,Jan-2024
Thursday,7.0,0.0,7.0,6.0,13.0,2.0,13.0,Feb-2024
Friday,8.0,0.0,8.0,8.0,16.0,2.0,16.0,Feb-2024
Saturday,8.0,4.0,12.0,1.0,13.0,0.0,13.0,Feb-2024
Sunday,8.0,4.0,12.0,1.0,13.0,0.0,13.0,Feb-2024
Monday,9.0,2.0,11.0,2.0,13.0,2.0,13.0,Feb-2024
Tuesday,5.0,1.0,6.0,5.0,11.0,2.0,11.0,Feb-2024
Wednesday,5.0,1.0,6.0,4.0,10.0,2.0,10.0,Feb-2024
Thursday,6.0,0.0,6.0,5.0,11.0,2.0,11.0,Feb-2024
Friday,5.0,1.0,6.0,9.0,15.0,2.0,15.0,Feb-2024
Saturday,4.0,1.0,5.0,9.0,14.0,2.0,14.0,Feb-2024
Sunday,5.0,1.0,6.0,10.0,16.0,2.0,16.0,Feb-2024
Monday,5.0,1.0,6.0,10.0,16.0,2.0,16.0,Feb-2024
Tuesday,7.0,1.0,8.0,7.0,15.0,2.0,15.0,Feb-2024
Wednesday,7.0,1.0,8.0,5.0,13.0,0.0,13.0,Feb-2024
Thursday,6.0,1.0,7.0,5.0,12.0,0.0,12.0,Feb-2024
Friday,6.0,1.0,7.0,8.0,15.0,0.0,15.0,Feb-2024
Saturday,8.0,1.0,9.0,6.0,15.0,0.0,15.0,Feb-2024
Sunday,8.0,1.0,9.0,7.0,16.0,0.0,16.0,Feb-2024
Monday,9.0,0.0,9.0,7.0,16.0,0.0,16.0,Feb-2024
Tuesday,9.0,0.0,9.0,7.0,16.0,0.0,16.0,Feb-2024
Wednesday,9.0,0.0,9.0,6.0,15.0,0.0,15.0,Feb-2024
Thursday,7.0,0.0,7.0,10.0,17.0,0.0,17.0,Feb-2024
Friday,8.0,0.0,8.0,10.0,18.0,0.0,18.0,Feb-2024
Saturday,8.0,0.0,8.0,9.0,17.0,0.0,17.0,Feb-2024
Sunday,8.0,0.0,8.0,10.0,18.0,0.0,18.0,Feb-2024
Monday,8.0,0.0,8.0,10.0,18.0,0.0,18.0,Feb-2024
Tuesday,8.0,0.0,8.0,9.0,17.0,0.0,17.0,Feb-2024
Wednesday,6.0,0.0,6.0,7.0,13.0,0.0,13.0,Feb-2024
Thursday,6.0,0.0,6.0,5.0,11.0,0.0,11.0,Feb-2024
Friday,6.0,0.0,6.0,8.0,14.0,0.0,14.0,Mar-2024
Saturday,6.0,0.0,6.0,7.0,13.0,0.0,13.0,Mar-2024
Sunday,7.0,0.0,7.0,11.0,18.0,0.0,18.0,Mar-2024
Monday,7.0,0.0,7.0,11.0,18.0,0.0,18.0,Mar-2024
Tuesday,5.0,0.0,5.0,11.0,16.0,0.0,16.0,Mar-2024
Wednesday,7.0,0.0,7.0,9.0,16.0,0.0,16.0,Mar-2024
Thursday,7.0,0.0,7.0,7.0,14.0,0.0,14.0,Mar-2024
Friday,4.0,0.0,4.0,5.0,9.0,0.0,9.0,Mar-2024
Saturday,5.0,0.0,5.0,5.0,10.0,0.0,10.0,Mar-2024
Sunday,5.0,0.0,5.0,6.0,11.0,0.0,11.0,Mar-2024
Monday,5.0,0.0,5.0,7.0,12.0,0.0,12.0,Mar-2024
Tuesday,6.0,0.0,6.0,9.0,15.0,0.0,15.0,Mar-2024
Wednesday,4.0,0.0,4.0,11.0,15.0,0.0,15.0,Mar-2024
Thursday,3.0,0.0,3.0,7.0,10.0,0.0,10.0,Mar-2024
Friday,3.0,0.0,3.0,8.0,11.0,0.0,11.0,Mar-2024
Saturday,4.0,0.0,4.0,8.0,12.0,0.0,12.0,Mar-2024
Sunday,5.0,0.0,5.0,7.0,12.0,0.0,12.0,Mar-2024
Monday,5.0,0.0,5.0,11.0,16.0,0.0,16.0,Mar-2024
Tuesday,8.0,0.0,8.0,9.0,17.0,0.0,17.0,Mar-2024
Wednesday,7.0,0.0,7.0,9.0,16.0,0.0,16.0,Mar-2024
Thursday,6.0,0.0,6.0,11.0,17.0,0.0,17.0,Mar-2024
Friday,5.0,0.0,5.0,11.0,16.0,0.0,16.0,Mar-2024
Saturday,6.0,0.0,6.0,12.0,18.0,0.0,18.0,Mar-2024
Sunday,6.0,0.0,6.0,12.0,18.0,0.0,18.0,Mar-2024
Monday,6.0,0.0,6.0,12.0,18.0,0.0,18.0,Mar-2024
Tuesday,7.0,0.0,7.0,8.0,15.0,0.0,15.0,Mar-2024
Wednesday,6.0,0.0,6.0,8.0,14.0,0.0,14.0,Mar-2024
Thursday,6.0,0.0,6.0,8.0,14.0,0.0,14.0,Mar-2024
Friday,5.0,0.0,5.0,6.0,11.0,0.0,11.0,Mar-2024
Saturday,5.0,0.0,5.0,6.0,11.0,0.0,11.0,Mar-2024
Sunday,5.0,0.0,5.0,6.0,11.0,0.0,11.0,Mar-2024
Monday,5.0,0.0,5.0,6.0,11.0,0.0,11.0,Apr-2024
Tuesday,4.0,0.0,4.0,8.0,12.0,0.0,12.0,Apr-2024
Wednesday,6.0,0.0,6.0,9.0,15.0,0.0,15.0,Apr-2024
Thursday,10.0,0.0,10.0,6.0,16.0,0.0,16.0,Apr-2024
Friday,7.0,0.0,7.0,7.0,14.0,0.0,14.0,Apr-2024
Saturday,9.0,0.0,9.0,5.0,14.0,0.0,14.0,Apr-2024
Sunday,9.0,0.0,9.0,5.0,14.0,0.0,14.0,Apr-2024
Monday,9.0,0.0,9.0,5.0,14.0,0.0,14.0,Apr-2024
Tuesday,8.0,0.0,8.0,4.0,12.0,0.0,12.0,Apr-2024
Wednesday,8.0,0.0,8.0,6.0,14.0,0.0,14.0,Apr-2024
Thursday,6.0,0.0,6.0,6.0,12.0,0.0,12.0,Apr-2024
Friday,3.0,0.0,3.0,5.0,8.0,0.0,8.0,Apr-2024
Saturday,2.0,0.0,2.0,8.0,10.0,0.0,10.0,Apr-2024
Sunday,4.0,0.0,4.0,8.0,12.0,0.0,12.0,Apr-2024
Monday,4.0,0.0,4.0,8.0,12.0,0.0,12.0,Apr-2024
Tuesday,5.0,0.0,5.0,7.0,12.0,0.0,12.0,Apr-2024
Wednesday,6.0,0.0,6.0,8.0,14.0,0.0,14.0,Apr-2024
Thursday,,,,,,,,Apr-2024
Friday,,,,,,,,Apr-2024
Saturday,,,,,,,,Apr-2024
Sunday,,,,,,,,Apr-2024
Monday,,,,,,,,Apr-2024
Tuesday,,,,,,,,Apr-2024
Wednesday,,,,,,,,Apr-2024
Thursday,,,,,,,,Apr-2024
Friday,,,,,,,,Apr-2024
Saturday,,,,,,,,Apr-2024
Sunday,,,,,,,,Apr-2024
Monday,,,,,,,,Apr-2024
Tuesday,,,,,,,,Apr-2024
