Date,Available Beds,Wasted Beds,Daily Efficiency,Cumulative Available Beds,Cumulative Wasted Beds,Cumulative Efficiency
2023-03-13,26.0,2.0,0.9230769230769231,1861.0,104.0,0.9441160666308437
2023-03-14,26.0,1.0,0.9615384615384616,1887.0,105.0,0.9443561208267091
2023-03-15,26.0,1.0,0.9615384615384616,1913.0,106.0,0.9445896497647673
2023-03-16,26.0,1.0,0.9615384615384616,1939.0,107.0,0.9448169159360496
2023-03-17,26.0,2.0,0.9230769230769231,1965.0,109.0,0.944529262086514
2023-03-18,26.0,1.0,0.9615384615384616,1991.0,110.0,0.9447513812154696
2023-03-19,26.0,0.0,1.0,2017.0,110.0,0.9454635597421914
2023-03-20,26.0,0.0,1.0,2043.0,110.0,0.9461576113558492
2023-03-21,26.0,0.0,1.0,2069.0,110.0,0.9468342194296762
2023-03-22,26.0,1.0,0.9615384615384616,2095.0,111.0,0.9470167064439141
2023-03-23,26.0,0.0,1.0,2121.0,111.0,0.9476661951909476
2023-03-24,26.0,1.0,0.9615384615384616,2147.0,112.0,0.9478341872380065
2023-03-25,26.0,0.0,1.0,2173.0,112.0,0.9484583525080534
2023-03-26,26.0,0.0,1.0,2199.0,112.0,0.9490677580718508
2023-03-27,26.0,0.0,1.0,2225.0,112.0,0.9496629213483146
2023-03-28,26.0,0.0,1.0,2251.0,112.0,0.950244335850733
2023-03-29,26.0,0.0,1.0,2277.0,112.0,0.950812472551603
2023-03-30,26.0,0.0,1.0,2303.0,112.0,0.9513677811550152
2023-03-31,26.0,0.0,1.0,2329.0,112.0,0.9519106912838128
2023-04-01,26.0,0.0,1.0,2355.0,112.0,0.9524416135881104
2023-04-02,26.0,0.0,1.0,2381.0,112.0,0.9529609407811844
2023-04-03,26.0,0.0,1.0,2407.0,112.0,0.953469048608226
2023-04-04,26.0,0.0,1.0,2433.0,112.0,0.9539662967529798
2023-04-05,26.0,0.0,1.0,2459.0,112.0,0.9544530296868646
2023-04-06,26.0,0.0,1.0,2485.0,112.0,0.9549295774647887
2023-04-07,26.0,0.0,1.0,2511.0,112.0,0.9553962564715253
2023-04-08,26.0,1.0,0.9615384615384616,2537.0,113.0,0.9554592037839968
2023-04-09,26.0,1.0,0.9615384615384616,2563.0,114.0,0.9555208739758096
