Room Configurations,Wasted Beds,Wasted Potential
"S: 0, D: 13",3094.0,0.0
"S: 2, D: 12",2152.0,0.0
"S: 4, D: 11",1257.0,0.0
"S: 6, D: 10",536.0,0.0
"S: 8, D: 9",178.0,2.0
"S: 10, D: 8",52.0,22.0
"S: 12, D: 7",5.0,117.0
"S: 14, D: 6",0.0,330.0
"S: 16, D: 5",0.0,738.0
"S: 18, D: 4",0.0,1333.0
"S: 20, D: 3",0.0,2061.0
"S: 22, D: 2",0.0,2896.0
"S: 24, D: 1",0.0,3793.0
"S: 26, D: 0",0.0,4716.0
